	hek293t_1	hek293t_2	hela_1	hela_2
hsa-let-7a-2-3p	0	0	138	181
hsa-let-7a-3p	2723	3086	4656	9771
hsa-let-7a-5p	144397	105571	230903	469794
hsa-let-7b-3p	64	50	2721	1613
hsa-let-7b-5p	6718	5384	203526	228960
hsa-let-7c-3p	27	32	207	208
hsa-let-7c-5p	3167	2791	18410	26199
hsa-let-7d-3p	308	194	17016	9061
hsa-let-7d-5p	2362	1107	61439	110999
hsa-let-7e-3p	139	114	258	467
hsa-let-7e-5p	10056	7356	20312	45628
hsa-let-7f-1-3p	5	7	958	905
hsa-let-7f-2-3p	451	343	236	774
hsa-let-7f-5p	39761	31262	160322	318933
hsa-let-7g-3p	145	141	901	1302
hsa-let-7g-5p	18638	10399	55678	144566
hsa-let-7i-3p	43	54	3488	6153
hsa-let-7i-5p	3785	2836	303334	406653
hsa-miR-1-3p	63	29	2	0
hsa-miR-1-5p	0	1	0	0
hsa-miR-100-3p	0	0	534	487
hsa-miR-100-5p	82	47	52126	57455
hsa-miR-101-3p	76542	74834	27523	186508
hsa-miR-101-5p	282	273	817	950
hsa-miR-103a-2-5p	71	110	202	149
hsa-miR-103a-3p	157184	129821	67538	179939
hsa-miR-105-3p	0	1	161	453
hsa-miR-105-5p	1	7	6453	10568
hsa-miR-106a-5p	20492	10032	969	3651
hsa-miR-106b-3p	16255	22623	25732	22603
hsa-miR-106b-5p	153734	93836	18775	66902
hsa-miR-107	21281	19813	10075	35123
hsa-miR-10a-3p	1765	1340	378	809
hsa-miR-10a-5p	59616	60316	37059	28603
hsa-miR-10b-3p	568	810	286	267
hsa-miR-10b-5p	35210	46329	22583	17437
hsa-miR-1178-3p	0	3	2	1
hsa-miR-1179	45	26	28	39
hsa-miR-1180-3p	13591	16054	16039	14873
hsa-miR-1180-5p	259	338	487	219
hsa-miR-1181	0	1	0	0
hsa-miR-1185-1-3p	0	1	2	2
hsa-miR-1185-2-3p	0	0	2	1
hsa-miR-1193	0	3	7	5
hsa-miR-1197	0	1	0	0
hsa-miR-122-5p	6	16	169	28
hsa-miR-1224-3p	3	2	3	0
hsa-miR-1224-5p	16	25	25	24
hsa-miR-1225-3p	0	1	1	0
hsa-miR-1225-5p	0	1	0	0
hsa-miR-1226-3p	699	370	1515	644
hsa-miR-1226-5p	102	274	534	455
hsa-miR-1227-3p	27	30	45	25
hsa-miR-1228-3p	11	7	62	42
hsa-miR-1228-5p	4	2	30	28
hsa-miR-1229-3p	52	38	277	81
hsa-miR-1229-5p	1	4	14	11
hsa-miR-1231	0	0	0	1
hsa-miR-1233-3p	6	4	9	3
hsa-miR-1233-5p	3	1	6	4
hsa-miR-1234-3p	11	11	39	14
hsa-miR-1236-3p	9	5	30	11
hsa-miR-1236-5p	4	6	16	21
hsa-miR-1237-3p	56	42	138	38
hsa-miR-1237-5p	7	14	22	8
hsa-miR-1238-3p	3	1	5	1
hsa-miR-124-3p	51	51	2	0
hsa-miR-124-5p	4	7	0	0
hsa-miR-1243	34	45	0	1
hsa-miR-1246	598	769	572	96
hsa-miR-1247-3p	1	6	183	91
hsa-miR-1247-5p	339	101	5995	2326
hsa-miR-1248	1	4	0	1
hsa-miR-1249-3p	678	561	903	526
hsa-miR-1249-5p	3	8	35	16
hsa-miR-1250-3p	0	1	0	0
hsa-miR-1250-5p	90	161	0	0
hsa-miR-1252-3p	12	17	0	0
hsa-miR-1252-5p	44	26	0	0
hsa-miR-1253	0	1	0	0
hsa-miR-1254	110	275	1230	1030
hsa-miR-1255a	80	85	101	123
hsa-miR-1255b-2-3p	1	1	1	0
hsa-miR-1255b-5p	37	37	24	16
hsa-miR-1256	34	32	20	35
hsa-miR-1257	33	100	98	48
hsa-miR-1258	12	11	0	0
hsa-miR-125a-3p	364	482	2100	1799
hsa-miR-125a-5p	13654	9889	45454	29579
hsa-miR-125b-1-3p	3	1	1045	830
hsa-miR-125b-2-3p	178	323	958	1074
hsa-miR-125b-5p	2962	2953	19944	20769
hsa-miR-126-3p	4978	6308	12946	10128
hsa-miR-126-5p	1447	2182	4565	2783
hsa-miR-1260a	7	5	3	0
hsa-miR-1260b	363	1459	1134	163
