mirname	KO1	KO2	KO3	WT1	WT2	WT3	C352A1	C352A2	C352A3	P351A1	P351A2	P351A3	ALA-1	ALA-2	ALA-3
hsa-let-7a-1	11175.0	7826.426648068958	7311.749175503089	38855.452277080374	22574.06566473894	23101.076492402004	7996.806416459602	8319.504473464278	7765.700736983584	28969.869995036166	35957.6543967913	37827.85983937675	43099.74497666079	45760.93120874976	62597.00081950188
hsa-let-7a-2	11031.0	7762.03811126872	7219.0050138666065	37816.15831595395	21852.150421758823	22321.95562237596	7833.900986949872	8088.715338964337	7544.908448735412	28904.790791427684	35892.42931755379	37779.055994918795	42754.32913011581	45447.382173285856	62407.196508153764
hsa-let-7a-3	11271.0	7868.279196989112	7374.414149581792	39136.955519439376	22749.80636828065	23260.89615804837	8026.589680580494	8339.476610103697	7786.795541593282	29250.810500754425	36255.82618759133	38148.013059021076	43568.52362554329	46246.75993402902	63145.66591384418
hsa-let-7b	1899.0	1455.1809316853853	1223.2202940162874	4684.160587310428	4288.417756032301	4482.085444600331	668.7696579873108	774.4750763507694	697.5348724273562	1357.4971907626348	1560.540405111031	1693.9814411363307	3302.904942583966	3028.676946953622	3235.126116500155
hsa-let-7c	2452.0	1432.6449438053014	1361.0832369894329	6888.157536964898	3351.134003809898	3277.7301070509207	1938.1684757459502	1457.9659746775226	1309.2842061086064	5205.419680176237	6554.512776295794	6871.09326123837	5258.473539638396	5318.848290232175	6613.950233899491
hsa-let-7d	1505.0	1220.1627723645154	1163.0619189007311	4130.493072718056	3163.3326637506293	3214.9438098327055	337.09239845919063	601.3832254758124	496.431068481566	2709.9530347668674	2923.7850736464998	3095.139815524808	7526.203662607713	9091.773497188044	8278.38804110599
hsa-let-7e	775.0	695.3961974425733	634.1695376764759	2989.804578798826	2112.3343386482948	2079.0826147031744	326.26212059704807	352.8410806297201	316.42206914547404	1905.6290746762454	2331.492739204046	2376.747225103407	4249.044000511566	4733.097344860029	6567.843923450562
hsa-let-7f-1	7489.0	6364.806862703551	6173.753246233837	20663.138472305323	11719.492798927984	11444.229629320156	4267.129477684216	4418.28044989794	3802.6901109749415	15703.336848173854	21113.47968659569	18860.24569078462	25810.716409065553	27559.00771412675	46026.39284415523
hsa-let-7f-2	7526.0	6403.439984783693	6203.832433791615	20904.61755698296	11893.510554395749	11636.869404876043	4342.490161141625	4498.168996455611	3870.1934857259766	15780.331962302187	21194.099505032103	18933.451457471587	25944.806411606318	27751.960966719922	46203.90213938364
hsa-let-7g	3040.0	1728.8322130863974	1661.8751125672084	13529.499434894651	5890.7594647948745	5441.003438478525	2399.357808042193	2181.401146283113	1994.1621957701436	6332.848137055402	8157.186151845964	7848.14622728704	9619.080422263867	12282.393352568088	14966.876810231253
