,rep1_+1m7,rep1_-1m7,rep1_dc,rep2-1_+1m7,rep2-1_-1m7,rep2-1_dc,rep2-2_+1m7,rep2-2_-1m7,rep2-2_dc,rep2-3_+1m7,rep2-3_-1m7,rep2-3_dc
hsa-let-7a-1,8730.0,3575.0,3656.0,27344.0,16207.0,17350.0,64.0,56.0,67.0,75.0,51.0,130.0
hsa-let-7a-2,20572.0,13169.0,13640.0,617.0,475.0,702.0,48166.0,26485.0,44703.0,1262.0,662.0,1244.0
hsa-let-7a-3,22988.0,9755.0,9520.0,601.0,377.0,452.0,1816.0,761.0,1119.0,66134.0,22257.0,40504.0
hsa-let-7b,14847.0,10222.0,10236.0,47500.0,38022.0,52040.0,755.0,416.0,733.0,159.0,95.0,244.0
hsa-let-7c,9342.0,6073.0,6773.0,315.0,244.0,309.0,23721.0,13717.0,23669.0,158.0,67.0,126.0
hsa-let-7d,31.0,18.0,27.0,110.0,69.0,114.0,0.0,0.0,0.0,1.0,1.0,1.0
hsa-let-7e,27686.0,18476.0,20108.0,3299.0,2739.0,3666.0,384.0,239.0,366.0,79635.0,41452.0,87784.0
hsa-let-7f-1,12764.0,6573.0,8287.0,45912.0,34144.0,43766.0,157.0,106.0,190.0,189.0,100.0,294.0
hsa-let-7f-2,28584.0,18041.0,19133.0,4970.0,3712.0,5280.0,67360.0,36098.0,63283.0,353.0,215.0,409.0
hsa-let-7g,24185.0,14034.0,16868.0,652.0,535.0,670.0,404.0,249.0,403.0,87232.0,41714.0,84060.0
hsa-let-7i,17025.0,13583.0,13836.0,51425.0,43780.0,64735.0,4228.0,2605.0,4407.0,211.0,134.0,306.0
hsa-mir-1-1,26758.0,20584.0,21147.0,577.0,508.0,675.0,62402.0,38614.0,69441.0,334.0,215.0,391.0
hsa-mir-1-2,20356.0,13049.0,15894.0,1074.0,955.0,1267.0,245.0,170.0,247.0,67745.0,35133.0,67233.0
hsa-mir-100,12225.0,6849.0,8836.0,558.0,475.0,651.0,182.0,73.0,156.0,38107.0,17603.0,38050.0
hsa-mir-101-1,27749.0,21845.0,21795.0,89755.0,79253.0,115552.0,263.0,188.0,267.0,330.0,227.0,467.0
hsa-mir-101-2,55710.0,50489.0,51999.0,882.0,741.0,1125.0,702.0,500.0,756.0,156478.0,108598.0,229247.0
hsa-mir-103a-1,66499.0,37031.0,42538.0,223570.0,161842.0,214143.0,630.0,393.0,654.0,782.0,430.0,1325.0
hsa-mir-103a-2,21699.0,16839.0,17523.0,467.0,342.0,534.0,47595.0,30390.0,54015.0,314.0,180.0,314.0
hsa-mir-105-1,13588.0,9002.0,9212.0,347.0,276.0,463.0,184.0,135.0,176.0,47904.0,24357.0,51543.0
hsa-mir-105-2,28966.0,20892.0,20706.0,95641.0,72996.0,107384.0,321.0,224.0,315.0,1173.0,677.0,1458.0
hsa-mir-106a,7210.0,5632.0,6319.0,300.0,256.0,377.0,18746.0,12564.0,23342.0,1640.0,1015.0,2089.0
hsa-mir-106b,28361.0,19741.0,23811.0,1219.0,1132.0,1456.0,517.0,297.0,479.0,93383.0,62674.0,118060.0
hsa-mir-107,76399.0,63584.0,59312.0,3442.0,2970.0,4109.0,183266.0,118089.0,213148.0,1084.0,703.0,1239.0
hsa-mir-10a,56934.0,30477.0,41806.0,45059.0,37505.0,45127.0,120759.0,60522.0,107831.0,895.0,511.0,958.0
hsa-mir-10b,24421.0,13769.0,16933.0,2026.0,1494.0,2107.0,65280.0,33227.0,58475.0,379.0,190.0,365.0
hsa-mir-1179,32639.0,25008.0,25509.0,405.0,341.0,506.0,271.0,201.0,332.0,76993.0,49267.0,100476.0
hsa-mir-1180,10491.0,2796.0,5235.0,568.0,324.0,412.0,221.0,132.0,204.0,55966.0,11585.0,22067.0
hsa-mir-1185-1,15150.0,7861.0,10042.0,48714.0,34517.0,46560.0,161.0,113.0,151.0,1472.0,615.0,1346.0
hsa-mir-1185-2,7584.0,3795.0,4687.0,156.0,151.0,196.0,16982.0,7666.0,13350.0,88.0,54.0,84.0
hsa-mir-1193,52436.0,37585.0,37928.0,175040.0,134290.0,198899.0,564.0,336.0,533.0,631.0,392.0,956.0
hsa-mir-1197,99819.0,72553.0,75880.0,1379.0,1086.0,1578.0,241556.0,143371.0,264581.0,1287.0,812.0,1451.0
hsa-mir-122,17315.0,10728.0,11623.0,222.0,192.0,313.0,212.0,133.0,178.0,55119.0,26828.0,53194.0
hsa-mir-124-1,21377.0,16167.0,17093.0,73200.0,58409.0,95134.0,212.0,154.0,229.0,283.0,149.0,453.0
hsa-mir-124-2,31903.0,21377.0,22490.0,414.0,327.0,439.0,74723.0,43623.0,76101.0,397.0,237.0,435.0
hsa-mir-124-3,114704.0,64115.0,72113.0,1307.0,1103.0,1560.0,1206.0,741.0,1136.0,329051.0,152843.0,301777.0
hsa-mir-1245b,1225.0,219.0,519.0,3770.0,1575.0,1675.0,24.0,7.0,25.0,19.0,9.0,28.0
hsa-mir-1247,114557.0,65682.0,65639.0,1392.0,998.0,1400.0,307353.0,149168.0,255185.0,1448.0,849.0,1470.0
hsa-mir-1249,19366.0,13292.0,13028.0,269.0,204.0,332.0,179.0,111.0,188.0,49224.0,25158.0,55736.0
hsa-mir-1251,30894.0,21489.0,21432.0,99487.0,79755.0,109711.0,258.0,164.0,278.0,313.0,170.0,493.0
hsa-mir-1252,1316.0,157.0,489.0,19.0,24.0,22.0,3721.0,468.0,774.0,13.0,11.0,14.0
hsa-mir-1256,17956.0,12115.0,12890.0,45874.0,35039.0,50074.0,8497.0,4809.0,8491.0,186.0,145.0,312.0
hsa-mir-125a,108769.0,77176.0,78798.0,342242.0,277046.0,393028.0,1048.0,616.0,1045.0,1267.0,757.0,1948.0
hsa-mir-125b-1,34700.0,23980.0,25225.0,418.0,296.0,456.0,59210.0,35357.0,61865.0,389.0,252.0,407.0
hsa-mir-125b-2,8070.0,4036.0,4647.0,104.0,84.0,142.0,85.0,63.0,89.0,27614.0,10606.0,24500.0
hsa-mir-126,34192.0,24823.0,25369.0,106320.0,90819.0,128788.0,306.0,183.0,324.0,387.0,265.0,692.0
hsa-mir-1264,43502.0,26286.0,32390.0,674.0,500.0,699.0,106577.0,57751.0,102220.0,595.0,382.0,627.0
hsa-mir-1266,641.0,211.0,353.0,22.0,11.0,14.0,2121.0,501.0,1347.0,12.0,3.0,9.0
hsa-mir-1269a,1871.0,734.0,950.0,4754.0,2546.0,3805.0,23.0,20.0,27.0,1555.0,500.0,1116.0
hsa-mir-127,15032.0,9118.0,9629.0,278.0,238.0,327.0,146.0,118.0,170.0,43221.0,19613.0,43204.0
hsa-mir-1270,49207.0,17239.0,34075.0,152017.0,114581.0,142526.0,819.0,554.0,920.0,1193.0,648.0,1466.0
hsa-mir-1271,26195.0,12495.0,13231.0,79706.0,47632.0,60841.0,2519.0,1087.0,1868.0,209.0,136.0,404.0
hsa-mir-1276,1737.0,1128.0,1142.0,44.0,30.0,54.0,4147.0,2186.0,3755.0,46.0,35.0,30.0
hsa-mir-1277,1419.0,157.0,500.0,43.0,29.0,64.0,9255.0,550.0,947.0,40.0,24.0,46.0
hsa-mir-1278,970.0,506.0,746.0,12.0,12.0,13.0,9.0,10.0,13.0,3037.0,1424.0,2867.0
hsa-mir-128-1,1892.0,771.0,969.0,34.0,22.0,31.0,26.0,23.0,26.0,5513.0,1679.0,4075.0
hsa-mir-128-2,97.0,77.0,76.0,318.0,283.0,459.0,1.0,0.0,2.0,0.0,0.0,0.0
